Adım 89: Hücre(3,8) sıfırlandı.
Adım 89: Hücre(3,7) sıfırlandı.
Adım 89: Hücre(3,5) sıfırlandı.
Adım 89: Hücre(3,4) sıfırlandı.
Adım 89: Hücre(3,3) sıfırlandı.
Adım 89: Hücre(3,2) sıfırlandı.
Adım 90: Hücre(3,2) = 6
Adım 91: Hücre(3,3) = 3
Adım 92: Hücre(3,4) = 4
Adım 93: Hücre(3,5) = 1
Adım 94: Hücre(3,7) = 8
Adım 94: Hücre(3,7) sıfırlandı.
Adım 94: Hücre(3,5) sıfırlandı.
Adım 94: Hücre(3,4) sıfırlandı.
Adım 94: Hücre(3,3) sıfırlandı.
Adım 95: Hücre(3,3) = 9
Adım 96: Hücre(3,4) = 4
Adım 97: Hücre(3,5) = 1
Adım 98: Hücre(3,7) = 3
Adım 99: Hücre(3,8) = 8
Adım 99: Hücre(3,8) sıfırlandı.
Adım 99: Hücre(3,7) sıfırlandı.
Adım 100: Hücre(3,7) = 8
Adım 101: Hücre(3,8) = 3
Adım 101: Hücre(3,8) sıfırlandı.
Adım 101: Hücre(3,7) sıfırlandı.
Adım 101: Hücre(3,5) sıfırlandı.
Adım 101: Hücre(3,4) sıfırlandı.
Adım 101: Hücre(3,3) sıfırlandı.
Adım 101: Hücre(3,2) sıfırlandı.
Adım 102: Hücre(3,2) = 8
Adım 103: Hücre(3,3) = 3
Adım 104: Hücre(3,4) = 4
Adım 105: Hücre(3,5) = 1
Adım 105: Hücre(3,5) sıfırlandı.
Adım 105: Hücre(3,4) sıfırlandı.
Adım 106: Hücre(3,4) = 6
Adım 107: Hücre(3,5) = 1
Adım 107: Hücre(3,5) sıfırlandı.
Adım 108: Hücre(3,5) = 4
Adım 109: Hücre(3,7) = 1
Adım 109: Hücre(3,7) sıfırlandı.
Adım 109: Hücre(3,5) sıfırlandı.
Adım 109: Hücre(3,4) sıfırlandı.
Adım 109: Hücre(3,3) sıfırlandı.
Adım 110: Hücre(3,3) = 6
Adım 111: Hücre(3,4) = 4
Adım 112: Hücre(3,5) = 1
Adım 113: Hücre(3,7) = 3
Adım 113: Hücre(3,7) sıfırlandı.
Adım 113: Hücre(3,5) sıfırlandı.
Adım 113: Hücre(3,4) sıfırlandı.
Adım 113: Hücre(3,3) sıfırlandı.
Adım 114: Hücre(3,3) = 9
Adım 115: Hücre(3,4) = 4
Adım 116: Hücre(3,5) = 1
Adım 117: Hücre(3,7) = 3
Adım 117: Hücre(3,7) sıfırlandı.
Adım 117: Hücre(3,5) sıfırlandı.
Adım 117: Hücre(3,4) sıfırlandı.
Adım 118: Hücre(3,4) = 6
Adım 119: Hücre(3,5) = 1
Adım 120: Hücre(3,7) = 3
Adım 120: Hücre(3,7) sıfırlandı.
Adım 120: Hücre(3,5) sıfırlandı.
Adım 121: Hücre(3,5) = 4
Adım 122: Hücre(3,7) = 1
Adım 123: Hücre(3,8) = 3
Adım 124: Hücre(4,0) = 6
Adım 125: Hücre(4,1) = 3
Adım 126: Hücre(4,2) = 4
Adım 127: Hücre(4,4) = 2
Adım 127: Hücre(4,4) sıfırlandı.
Adım 127: Hücre(4,2) sıfırlandı.
Adım 127: Hücre(4,1) sıfırlandı.
Adım 127: Hücre(4,0) sıfırlandı.
Adım 127: Hücre(3,8) sıfırlandı.
Adım 127: Hücre(3,7) sıfırlandı.
Adım 128: Hücre(3,7) = 3
Adım 129: Hücre(3,8) = 1
Adım 130: Hücre(4,0) = 6
Adım 131: Hücre(4,1) = 3
Adım 132: Hücre(4,2) = 4
Adım 133: Hücre(4,4) = 2
Adım 133: Hücre(4,4) sıfırlandı.
Adım 133: Hücre(4,2) sıfırlandı.
Adım 133: Hücre(4,1) sıfırlandı.
Adım 133: Hücre(4,0) sıfırlandı.
Adım 133: Hücre(3,8) sıfırlandı.
Adım 133: Hücre(3,7) sıfırlandı.
Adım 133: Hücre(3,5) sıfırlandı.
Adım 133: Hücre(3,4) sıfırlandı.
Adım 133: Hücre(3,3) sıfırlandı.
Adım 133: Hücre(3,2) sıfırlandı.
Adım 133: Hücre(3,1) sıfırlandı.
Adım 134: Hücre(3,1) = 3
Adım 135: Hücre(3,2) = 2
Adım 136: Hücre(3,3) = 6
Adım 137: Hücre(3,4) = 4
Adım 138: Hücre(3,5) = 1
Adım 139: Hücre(3,7) = 8
Adım 139: Hücre(3,7) sıfırlandı.
Adım 139: Hücre(3,5) sıfırlandı.
Adım 139: Hücre(3,4) sıfırlandı.
Adım 139: Hücre(3,3) sıfırlandı.
Adım 140: Hücre(3,3) = 9
Adım 141: Hücre(3,4) = 4
Adım 142: Hücre(3,5) = 1
Adım 143: Hücre(3,7) = 8
Adım 143: Hücre(3,7) sıfırlandı.
Adım 143: Hücre(3,5) sıfırlandı.
Adım 143: Hücre(3,4) sıfırlandı.
Adım 144: Hücre(3,4) = 6
Adım 145: Hücre(3,5) = 1
Adım 146: Hücre(3,7) = 8
Adım 146: Hücre(3,7) sıfırlandı.
Adım 146: Hücre(3,5) sıfırlandı.
Adım 147: Hücre(3,5) = 4
Adım 148: Hücre(3,7) = 1
Adım 149: Hücre(3,8) = 8
Adım 150: Hücre(4,0) = 6
Adım 150: Hücre(4,0) sıfırlandı.
Adım 150: Hücre(3,8) sıfırlandı.
Adım 150: Hücre(3,7) sıfırlandı.
Adım 151: Hücre(3,7) = 8
Adım 152: Hücre(3,8) = 1
Adım 153: Hücre(4,0) = 6
Adım 153: Hücre(4,0) sıfırlandı.
Adım 153: Hücre(3,8) sıfırlandı.
Adım 153: Hücre(3,7) sıfırlandı.
Adım 153: Hücre(3,5) sıfırlandı.
Adım 153: Hücre(3,4) sıfırlandı.
Adım 153: Hücre(3,3) sıfırlandı.
Adım 153: Hücre(3,2) sıfırlandı.
Adım 154: Hücre(3,2) = 4
Adım 155: Hücre(3,3) = 6
Adım 156: Hücre(3,4) = 2
Adım 157: Hücre(3,5) = 1
Adım 158: Hücre(3,7) = 8
Adım 158: Hücre(3,7) sıfırlandı.
Adım 158: Hücre(3,5) sıfırlandı.
Adım 158: Hücre(3,4) sıfırlandı.
Adım 158: Hücre(3,3) sıfırlandı.
Adım 159: Hücre(3,3) = 9
Adım 160: Hücre(3,4) = 2
Adım 161: Hücre(3,5) = 1
Adım 162: Hücre(3,7) = 8
Adım 162: Hücre(3,7) sıfırlandı.
Adım 162: Hücre(3,5) sıfırlandı.
Adım 162: Hücre(3,4) sıfırlandı.
Adım 163: Hücre(3,4) = 6
Adım 164: Hücre(3,5) = 1
Adım 165: Hücre(3,7) = 2
Adım 166: Hücre(3,8) = 8
Adım 167: Hücre(4,0) = 6
Adım 168: Hücre(4,1) = 2
Adım 169: Hücre(4,2) = 8
Adım 170: Hücre(4,4) = 4
Adım 170: Hücre(4,4) sıfırlandı.
Adım 170: Hücre(4,2) sıfırlandı.
Adım 170: Hücre(4,1) sıfırlandı.
Adım 170: Hücre(4,0) sıfırlandı.
Adım 170: Hücre(3,8) sıfırlandı.
Adım 170: Hücre(3,7) sıfırlandı.
Adım 171: Hücre(3,7) = 8
Adım 171: Hücre(3,7) sıfırlandı.
Adım 171: Hücre(3,5) sıfırlandı.
Adım 172: Hücre(3,5) = 2
Adım 173: Hücre(3,7) = 1
Adım 174: Hücre(3,8) = 8
Adım 175: Hücre(4,0) = 6
Adım 176: Hücre(4,1) = 2
Adım 177: Hücre(4,2) = 8
Adım 178: Hücre(4,4) = 4
Adım 178: Hücre(4,4) sıfırlandı.
Adım 178: Hücre(4,2) sıfırlandı.
Adım 178: Hücre(4,1) sıfırlandı.
Adım 178: Hücre(4,0) sıfırlandı.
Adım 178: Hücre(3,8) sıfırlandı.
Adım 178: Hücre(3,7) sıfırlandı.
Adım 179: Hücre(3,7) = 8
Adım 180: Hücre(3,8) = 1
Adım 181: Hücre(4,0) = 6
Adım 182: Hücre(4,1) = 2
Adım 183: Hücre(4,2) = 8
Adım 184: Hücre(4,4) = 4
